id;codigo;nombre;ciudad;pais
1;likewise;swing vastly fraudster;that agile next;throughout yieldingly
2;although;partridge wallaby;allegation as second-hand;optimistically
3;gallivant;per stealthily importance;an too afore;aside
4;versus enraged;hovel favorable;deeply give;zowie offensively among
5;scarper till shadowbox;hydrolyze plus;below;wonderfully save
6;gracefully mobility information;substantiate mash confused;orderly eyebrow shoot;majestically lazy ack
7;preclude dismal;mostly superior duh;slope quadruple in;from aha
8;rejoin stoop;with;delirious perfectly;likewise cemetery
9;um poor unexpectedly;home bootleg norm;polarisation;naughty unlike thread
10;regulate cellar;gadzooks after unconscious;excepting unsightly whether;trivial modulo
