id;matricula;modelo;capacidad
1;lonely publicize beyond;furthermore far until;22130
2;across;modulo fondly beneficial;32338
3;clinch wildly gloat;lawmaker huzzah sermon;7945
4;gloom hence delight;before lazily although;23693
5;bestride mousse comfortable;promptly tiny;24919
6;now fooey fussy;interestingly polarisation absent;26462
7;so briskly harvest;exempt;24505
8;however um;absent versus instead;20966
9;confound grouchy;unique flight jell;30042
10;lovely because how;likewise incidentally;9005
