id;codigo;fecha_reserva;estado
1;digitize inasmuch about;2025-06-17T12:45:58;CHECKIN
2;sanity comestible;2025-06-17T11:04:26;PENDIENTE
3;drat bashfully;2025-06-17T06:56:55;PENDIENTE
4;while oh;2025-06-17T23:58:07;CHECKIN
5;yum traffic;2025-06-18T01:47:53;PENDIENTE
6;parody phooey;2025-06-18T02:07:39;CONFIRMADA
7;furthermore furthermore neglect;2025-06-17T11:47:31;PENDIENTE
8;honestly pulp;2025-06-17T23:20:06;CHECKIN
9;bin whoever blah;2025-06-17T20:52:07;CHECKIN
10;readily motor;2025-06-17T22:00:38;CONFIRMADA
