id;numero_vuelo;origen;destino;fecha_salida;fecha_llegada
1;carp how;diver unto expense;whoever;2025-06-17T10:15:05;2025-06-17T20:37:00
2;ultimately information;indeed golden other;via around;2025-06-18T00:49:38;2025-06-17T07:24:17
3;ack;fiercely solicit;valiantly justly instead;2025-06-18T00:15:58;2025-06-18T01:03:26
4;schnitzel oof quarrelsomely;pivot blah;alongside;2025-06-17T04:31:06;2025-06-17T08:28:19
5;loyally however;squirm now than;brr tough;2025-06-17T04:25:45;2025-06-17T11:14:05
6;yet gadzooks;hunger;gah;2025-06-17T07:31:19;2025-06-17T22:19:10
7;earth above forenenst;pure;irresponsible countess;2025-06-17T08:45:19;2025-06-18T00:46:59
8;sternly frantically;in to ah;masculinize mmm;2025-06-17T13:06:49;2025-06-17T16:54:03
9;flowery;times;trustworthy across circle;2025-06-18T02:56:32;2025-06-17T14:45:03
10;brightly fooey but;meh faithfully able;outbid;2025-06-17T13:53:14;2025-06-17T15:22:15
